Column1,name,W_L_pct,W_L_pct/games,team,position,game_%,games,AB,R,H,doubles,triples,HR,RBI,walks,strike_outs,stolen_bases,caught_stealing_base,AVG,OBP,SLG,OPS
424," Flowers, T",0.556,0.2814,ATL,C,0.506,82,251,34,57,9,0,8,30,35,76,0,0,0.227,0.341,0.359,0.7
471," Flaherty, R",0.556,0.2780,ATL,3B,0.500,81,161,17,35,6,0,2,13,18,41,4,2,0.217,0.298,0.292,0.59
556," Duvall, A",0.556,0.4736,ATL,LF,0.852,138,384,48,75,20,0,15,61,37,117,2,2,0.195,0.274,0.365,0.639
594," Santana, D",0.556,0.0515,ATL,CF,0.093,15,28,4,5,3,0,0,2,3,11,1,1,0.179,0.281,0.286,0.567
605," Teheran, J",0.556,0.0961,ATL,P,0.173,28,40,2,7,0,0,1,4,1,8,0,0,0.175,0.19,0.25,0.44
680," Fried, M",0.556,0.0480,ATL,P,0.086,14,8,1,1,0,0,0,0,0,3,0,0,0.125,0.125,0.125,0.25
681," Gosselin, P",0.556,0.0686,ATL,2B,0.123,20,24,5,3,0,0,1,2,4,8,0,0,0.125,0.25,0.25,0.5
685," Soroka, M",0.556,0.0137,ATL,P,0.025,4,8,0,1,0,0,0,0,0,1,0,0,0.125,0.125,0.125,0.25
708," McCarthy, B",0.556,0.0515,ATL,P,0.093,15,29,1,3,2,0,0,2,0,19,0,0,0.103,0.103,0.172,0.276
714," Toussaint, T",0.556,0.0275,ATL,P,0.049,8,10,1,1,0,0,0,0,0,5,0,0,0.1,0.1,0.1,0.2
735," Ruiz, R",0.556,0.0480,ATL,3B,0.086,14,12,1,1,0,0,0,0,2,5,0,0,0.083,0.267,0.083,0.35
760," Foltynewicz, M",0.556,0.1030,ATL,P,0.185,30,58,3,3,1,0,0,4,0,41,0,0,0.052,0.052,0.069,0.121
762," Gausman, K",0.556,0.0412,ATL,P,0.074,12,21,0,1,0,0,0,0,4,11,0,0,0.048,0.2,0.048,0.248
764," Newcomb, S",0.556,0.0961,ATL,P,0.173,28,45,3,2,1,0,0,1,1,32,0,0,0.044,0.065,0.067,0.132
768," Sanchez, A",0.556,0.0789,ATL,P,0.142,23,41,0,1,0,0,0,0,1,25,0,0,0.024,0.048,0.024,0.072
795," Carle, S",0.556,0.1750,ATL,P,0.315,51,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0
827," Freeman, S",0.556,0.2025,ATL,P,0.364,59,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
839," Gohara, L",0.556,0.0275,ATL,P,0.049,8,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
863," Jackson, L",0.556,0.1133,ATL,P,0.204,33,1,1,0,0,0,0,0,1,0,0,0,0,0.5,0,0.5
913," Parsons, W",0.556,0.0034,ATL,P,0.006,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
938," Salas, F",0.556,0.1339,ATL,P,0.241,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
976," Wilson, B",0.556,0.0103,ATL,P,0.019,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
978," Winkler, D",0.556,0.2265,ATL,P,0.407,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
